cycle_id,day,start_time,run_mode,fwd_torque_max,fwd_torque_mean,fwd_torque_std,fwd_velocity_max,fwd_duration,settle_torque_mean,settle_torque_std,settle_duration,ret_torque_min,ret_torque_mean,ret_torque_std,ret_velocity_min,ret_duration,total_duration
90,Apr 24,2026-04-24 12:24:58.139,2.0,0.032,0.02538666666666667,0.0034741253095803364,84.249973,6,0.03948876494023905,0.00933475396936234,251,-0.12672,-0.06926356756756757,0.03243160221028736,-503.304005,370,627
91,Apr 24,2026-04-24 12:25:03.126,2.0,0.0288,0.024746666666666667,0.0035441595148450454,87.291002,6,0.03828525896414343,0.009564172699855926,251,-0.128,-0.06863048648648648,0.03265539430998298,-503.239632,370,627
92,Apr 24,2026-04-24 12:25:08.112,2.0,0.03264,0.024000000000000004,0.005590391757292149,86.971521,6,0.03925418326693227,0.009568193791425783,251,-0.13056,-0.06901275675675676,0.032493446184641964,-502.996445,370,627
93,Apr 24,2026-04-24 12:25:13.098,2.0,0.03136,0.024319999999999998,0.005151900620159515,87.264776,6,0.03941482071713148,0.009378383499715127,251,-0.12608,-0.06809945945945946,0.032521132220441444,-504.103899,370,627
94,Apr 24,2026-04-24 12:25:18.086,2.0,0.02816,0.023573333333333335,0.0035151481713672703,87.798834,6,0.039506613545816735,0.01007446828800686,251,-0.12416,-0.06947632432432432,0.03150017995393519,-504.363775,370,627
95,Apr 24,2026-04-24 12:25:23.073,2.0,0.03072,0.023573333333333335,0.0042916601294448594,84.526539,6,0.04036589641434263,0.010413624781661156,251,-0.12288,-0.06907675675675676,0.03189053251749828,-503.62587,370,627
96,Apr 24,2026-04-24 12:25:28.059,2.0,0.03008,0.024106666666666665,0.003959043655564645,84.935427,6,0.03969529880478087,0.009808664017610063,251,-0.12608,-0.06853708108108107,0.03291554547632848,-503.68309,370,627
97,Apr 24,2026-04-24 12:25:33.046,2.0,0.03456,0.02592,0.004802132859469841,86.649656,6,0.04179633466135459,0.008689623749711701,251,-0.12672,-0.06849383783783784,0.033891105177661814,-504.611731,370,627
98,Apr 24,2026-04-24 12:25:38.032,2.0,0.032,0.02688,0.004225938948920109,87.052584,6,0.040919203187251,0.008975983921696264,251,-0.1248,-0.06803891891891892,0.0331065273600486,-503.236055,370,627
99,Apr 24,2026-04-24 12:25:43.019,2.0,0.03264,0.02538666666666667,0.005225578117937446,84.019899,6,0.03819856573705179,0.008837576021436044,251,-0.128,-0.068992,0.03279515406069162,-503.767729,370,627
100,Apr 24,2026-04-24 12:25:48.006,2.0,0.03264,0.02602666666666667,0.004334395767193701,87.277889,6,0.04069482071713147,0.008527423823625117,251,-0.12736,-0.06879999999999999,0.03311727572158543,-503.954887,370,627
101,Apr 24,2026-04-24 12:25:52.992,2.0,0.03328,0.02634666666666667,0.0052529407636738735,86.942911,6,0.03773705179282869,0.009498658898671264,251,-0.13504,-0.06913556756756757,0.0327629423786758,-503.374338,370,627
102,Apr 24,2026-04-24 12:25:57.977,2.0,0.03328,0.02624,0.005183604923217044,86.787939,6,0.03887171314741036,0.009012204072999368,251,-0.128,-0.06856475675675676,0.03209564046193098,-503.585339,370,627
103,Apr 24,2026-04-24 12:26:02.962,2.0,0.032,0.02666666666666667,0.0036579046825562125,87.360144,6,0.03876462151394422,0.008482212409281868,251,-0.12672,-0.06876367567567568,0.032570213860170436,-502.798557,370,627
104,Apr 24,2026-04-24 12:26:07.948,2.0,0.03136,0.02666666666666667,0.004464735901110688,87.110996,6,0.03900430278884462,0.008825246728106364,251,-0.12608,-0.06916324324324324,0.03167451702898188,-503.071547,370,627
105,Apr 24,2026-04-24 12:26:12.933,2.0,0.03328,0.02698666666666667,0.005078498465754092,87.013245,6,0.0382801593625498,0.009744171754156532,251,-0.12608,-0.06878616216216216,0.0324878554399139,-502.895117,370,627
106,Apr 24,2026-04-24 12:26:17.918,2.0,0.03136,0.02709333333333333,0.003378488814050842,87.031126,6,0.04099059760956175,0.008711660280419243,251,-0.12416,-0.06866335135135135,0.03273170402467006,-502.601862,370,627
107,Apr 24,2026-04-24 12:26:22.903,2.0,0.0288,0.02645333333333334,0.002241523291573537,84.56707,6,0.03883856573705179,0.00951515664267601,251,-0.12544,-0.06869275675675675,0.032430981498304694,-502.557755,370,627
108,Apr 24,2026-04-24 12:26:27.888,2.0,0.03264,0.02645333333333334,0.004000213327644748,87.258816,6,0.03974374501992032,0.00871740238366482,251,-0.12864,-0.06954551351351351,0.032541080876125464,-503.189564,370,627
109,Apr 24,2026-04-24 12:26:32.874,2.0,0.03328,0.02602666666666667,0.003959043655564643,86.766481,6,0.039139442231075704,0.009783499807719588,251,-0.12672,-0.06893491891891892,0.03159336752664434,-502.276421,370,627
110,Apr 24,2026-04-24 12:26:37.859,2.0,0.03072,0.02752,0.0023602033810669783,87.176561,6,0.03962645418326693,0.010729060712704186,251,-0.12992,-0.06877405405405405,0.032683143037423125,-503.139496,370,627
111,Apr 24,2026-04-24 12:26:42.845,2.0,0.03136,0.02464,0.00441089560066887,87.720156,6,0.03822151394422311,0.010481666551594012,251,-0.12672,-0.06905254054054054,0.031922914445565505,-503.200293,370,627
112,Apr 24,2026-04-24 12:26:47.831,2.0,0.03136,0.02464,0.004557051678442982,86.885691,6,0.04088350597609562,0.010429951354582826,251,-0.12736,-0.06939156756756758,0.032264831605196435,-503.66044,370,627
113,Apr 24,2026-04-24 12:26:52.819,2.0,0.03264,0.02528,0.0048361306847520165,86.741447,6,0.04153625498007968,0.00976569622293901,251,-0.12736,-0.06834854054054054,0.032429685596553424,-503.356457,370,627
114,Apr 24,2026-04-24 12:26:57.805,2.0,0.03136,0.025920000000000002,0.0038771535951004047,87.063313,6,0.04147760956175298,0.010074081469938004,251,-0.12672,-0.06850248648648649,0.03307350644381354,-502.607822,370,627
115,Apr 24,2026-04-24 12:27:02.790,2.0,0.0288,0.02538666666666667,0.0033296406212482846,87.225437,6,0.042795856573705174,0.009270829022441656,251,-0.13056,-0.0684851891891892,0.032990308490527254,-503.773689,370,627
116,Apr 24,2026-04-24 12:27:07.776,2.0,0.032,0.026346666666666668,0.003953867305141469,86.917877,6,0.039274581673306774,0.009441011265976912,251,-0.12672,-0.06814443243243243,0.0324786623108704,-504.056215,370,627
117,Apr 24,2026-04-24 12:27:12.763,2.0,0.02752,0.024426666666666666,0.0032987431950163484,87.065697,6,0.04116908366533864,0.008568853012916731,251,-0.12672,-0.06818421621621622,0.032925996641014095,-503.114462,370,627
118,Apr 24,2026-04-24 12:27:17.748,2.0,0.0288,0.023786666666666668,0.004234008345134274,87.165833,6,0.038680478087649406,0.009030288221896231,251,-0.12992,-0.06859589189189189,0.032926517453891115,-503.343344,370,627
119,Apr 24,2026-04-24 12:27:22.735,2.0,0.02688,0.02272,0.004022337628792491,87.087154,6,0.04072796812749004,0.00978124443284084,251,-0.12736,-0.06915113513513513,0.032592764577019505,-503.501892,370,627
